Mouse	Human
Atp6v0a1	[ATP6V0A1]
Chst15	[CHST15]
Scn1b	[SCN1B]
Telo2	[TELO2]
Smim3	[SMIM3]
Sts	[STS]
Smim5	[SMIM5]
Smim1	[SMIM1]
Mcemp1	[MCEMP1]
Sh3bp5l	[SH3BP5L]
Rcc1	[RCC1]
Ptov1	[PTOV1]
Smim6	[SMIM6]
Smim7	[SMIM7]
Smim8	[SMIM8]
Katnip	[KATNIP]
Smim9	[SMIM9]
Col1a2	[COL1A2]
Col1a1	[COL1A1]
Vsig2	[VSIG2]
Vsig1	[VSIG1]
Vsig4	[VSIG4]
Myoz3	[MYOZ3]
Tmem179b	[TMEM179B]
Vsig8	[VSIG8]
Scn2a	[SCN2A]
Scn2b	[SCN2B]
Myoz2	[MYOZ2]
Myoz1	[MYOZ1]
Gm11100	[C3orf49]
Tbcel	[TBCEL]
Zfand2b	[ZFAND2B]
Zfand2a	[ZFAND2A]
Ulk1	[ULK1]
Ulk2	[ULK2]
Ulk3	[ULK3]
Tifa	[TIFA]
Asprv1	[ASPRV1]
Tcp10a	[TCP10L]
Tcp10c	[TCP10L]
Tcp10b	[TCP10L]
Arsa	[ARSA]
Or7c70	[OR7C2, OR7C1]
Tmcc3	[TMCC3]
Tmem176a	[TMEM176A]
Tmem176b	[TMEM176B]
Tmcc1	[TMCC1]
Tmcc2	[TMCC2]
Trim43b	[TRIM43B, TRIM51, TRIM64C, TRIM64B, TRIM51G, TRIM49B, TRIM49, TRIM49D2, TRIM64, TRIM43, TRIM49C, TRIM49D1, TRIM77]
Art5	[ART5]
Trim43a	[TRIM43B, TRIM51, TRIM64C, TRIM64B, TRIM51G, TRIM49B, TRIM49, TRIM49D2, TRIM64, TRIM43, TRIM49C, TRIM49D1, TRIM77]
Art4	[ART4]
Trim43c	[TRIM43B, TRIM51, TRIM64C, TRIM64B, TRIM51G, TRIM49B, TRIM49, TRIM49D2, TRIM64, TRIM43, TRIM49C, TRIM49D1, TRIM77]
Zbtb8b	[ZBTB8B]
Art3	[ART3]
Ppp1r3e	[PPP1R3E]
Art1	[ART1]
Ppp1r3d	[PPP1R3D]
Mucl3	[MUCL3]
Ppp1r3c	[PPP1R3C]
Ppp1r3b	[PPP1R3B]
Rabgap1	[RABGAP1]
Ppp1r3g	[PPP1R3G]
Ppp1r3f	[PPP1R3F]
Fam170a	[FAM170A]
Rce1	[RCE1]
Fam170b	[FAM170B]
Slain2	[SLAIN2]
Slain1	[SLAIN1]
Rcc2	[RCC2]
Fdxacb1	[FDXACB1]
Zbtb7c	[ZBTB7C]
Zbtb7b	[ZBTB7B]
Zbtb7a	[ZBTB7A]
Zbtb8a	[ZBTB8A]
Igsf6	[IGSF6]
Igsf5	[IGSF5]
Igsf8	[IGSF8]
Gm11127	[HLA-F]
Gabpb2	[GABPB2]
Igsf1	[IGSF1]
Arsk	[ARSK]
Arsj	[ARSJ]
Igsf3	[IGSF3]
Arsi	[ARSI]
Fam171b	[FAM171B]
Crabp1	[CRABP1]
Crabp2	[CRABP2]
Arsg	[ARSG]
Gabpb1	[GABPB1]
Igsf9	[IGSF9]
Arsb	[ARSB]
Cckar	[CCKAR]
Sult6b1	[SULT6B1]
Sult6b2	[SULT6B2P]
Sprr3	[SPRR3]
Sprr4	[SPRR4]
Dcaf8l	[DCAF8L1, DCAF8L2]
Sectm1a	[SECTM1]
Arv1	[ARV1]
Sectm1b	[SECTM1]
Artn	[ARTN]
Ppcdc	[PPCDC]
Ppp4r3c1	[PPP4R3C]
Ppp4r3c2	[PPP4R3C]
Sprr5	[SPRR5]
Gcdh	[GCDH]
Slc31a2	[SLC31A2]
Slc31a1	[SLC31A1]
Syk	[SYK]
Cckbr	[CCKBR]
Sohlh2	[SOHLH2, CCDC169-SOHLH2]
Sohlh1	[SOHLH1]
Frrs1l	[FRRS1L]
Syp	[SYP]
Hymai	[HYMAI]
Zswim1	[ZSWIM1]
Prim2	[PRIM2]
Zswim2	[ZSWIM2]
Zswim3	[ZSWIM3]
Zswim4	[ZSWIM4]
Zswim5	[ZSWIM5]
Zswim6	[ZSWIM6]
Zswim7	[ZSWIM7]
Zswim8	[ZSWIM8]
Prim1	[PRIM1]
Zswim9	[ZSWIM9]
Sfi1	[SFI1]
Serp1	[SERP1]
Serp2	[SERP2]
Gcgr	[GCGR]
Slc7a15	[SLC7A15P]
Bmncr	[BMNCR]
Slc7a13	[SLC7A13]
Slc7a14	[SLC7A14]
Slc7a11	[SLC7A11]
Slc7a10	[SLC7A10]
Tmsb4x	[TMSB4X, TMSB4Y]
Teddm2	[TEDDM2P]
Gch1	[GCH1]
Ifit1bl1	[IFIT1B, IFIT1]
Ifit1bl2	[IFIT1B, IFIT1]
Ppp1r9b	[PPP1R9B]
Ppp1r9a	[PPP1R9A]
Tardbp	[TARDBP]
Lyve1	[LYVE1]
Nr2c2	[NR2C2]
4930453N24Rik	[C3orf38]
Nr2c1	[NR2C1]
Scn9a	[SCN9A]
Kansl1l	[KANSL1L]
Or9i1b	[OR9I1]
Trmt9b	[TRMT9B]
Nup62cl	[NUP62CL]
Hfm1	[HFM1]
Fam177a	[FAM177A1]
Gcm2	[GCM2]
Gcm1	[GCM1]
Gckr	[GCKR]
Cntrob	[CNTROB]
Scn7a	[SCN7A]
Tmsb10	[TMSB10]
Gclc	[GCLC]
Fam178b	[FAM178B]
Zbtb26	[ZBTB26]
Zbtb25	[ZBTB25]
Zbtb24	[ZBTB24]
Igkv12-46	[IGKV1-8, IGKV1D-43]
Zbtb22	[ZBTB22]
Zbtb21	[ZBTB21]
Igkv12-47	[IGKV6D-41, IGKV6D-21, IGKV6-21]
Zbtb20	[ZBTB20]
Gclm	[GCLM]
Igkv12-41	[IGKV1OR2-108, IGKV1-8, IGKV1-39, IGKV1-13, IGKV1D-8, IGKV1D-39, IGKV1-33, IGKV1D-33, IGKV1D-43, IGKV1D-13]
Gcn1	[GCN1]
Igkv12-44	[IGKV1OR2-108, IGKV1-8, IGKV1-27, IGKV1-39, IGKV1-13, IGKV1D-8, IGKV1-33, IGKV1D-33, IGKV1D-43, IGKV1D-13]
Ifi203-ps	[IFI16]
Ralyl	[RALYL]
Cyc1	[CYC1]
Eef2k	[EEF2K]
Trmt112	[TRMT112]
Gorasp1	[GORASP1]
Gorasp2	[GORASP2]
Scn8a	[SCN8A]
Fastk	[FASTK]
Dmap1	[DMAP1]
Rcl1	[RCL1]
Adprhl1	[ADPRHL1]
Zbtb18	[ZBTB18]
Zbtb17	[ZBTB17]
Zbtb16	[ZBTB16]
Trmt10a	[TRMT10A]
Cyba	[CYBA]
Igkv12-38	[IGKV1OR2-108, IGKV1-8, IGKV1-27, IGKV1-39, IGKV1-13, IGKV1D-8, IGKV1-33, IGKV1D-33, IGKV1D-43, IGKV1D-13]
Cybb	[CYBB]
Trmt10c	[TRMT10C]
Zbtb14	[ZBTB14]
Trmt10b	[TRMT10B]
Zbtb12	[ZBTB12]
Zbtb11	[ZBTB11]
Pitrm1	[PITRM1]
Zbtb10	[ZBTB10]
Gtdc1	[GTDC1]
Alox12b	[ALOX12B]
mt-Nd4	[ND4]
Gmppa	[GMPPA]
Dcaf17	[DCAF17]
Ppp1r35	[PPP1R35]
mt-Nd5	[ND5]
H2-T23	[HLA-E]
H2-T22	[HLA-B, HLA-C, HLA-F, HLA-G, HLA-E]
mt-Nd6	[ND6]
Eef1d	[EEF1D]
Dcaf15	[DCAF15]
Tat	[TAT]
Ppp1r37	[PPP1R37]
Eef1g	[EEF1G]
Gmppb	[GMPPB]
Ppp1r36	[PPP1R36]
Dcaf10	[DCAF10]
Scn5a	[SCN5A]
Wscd2	[WSCD2]
Wscd1	[WSCD1]
Dcaf13	[DCAF13]
mt-Nd1	[ND1]
Atp6v0e2	[ATP6V0E2]
mt-Nd2	[ND2]
Dcaf11	[DCAF11]
Tcfl5	[TCFL5]
mt-Nd3	[ND3]
Dcaf12	[DCAF12]
Ppp1r1c	[PPP1R1C]
Slfn5	[SLFN5]
Txnrd1	[TXNRD1]
Ppp1r1b	[PPP1R1B]
Txnrd3	[TXNRD3]
Ppp1r1a	[PPP1R1A]
Sfpq	[SFPQ]
Txnrd2	[TXNRD2]
Slfn8	[SLFN13, SLFN11]
Zbtb49	[ZBTB49]
Slfn1	[SLFN12, SLFN12L]
Zbtb48	[ZBTB48]
Sfr1	[SFR1]
Slfn2	[SLFN12, SLFN12L]
Fam172a	[FAM172A]
Zbtb47	[ZBTB47]
Slfn3	[SLFN12, SLFN12L]
Zbtb46	[ZBTB46]
Slfn4	[SLFN12, SLFN12L]
Cox4i1	[COX4I1]
Zbtb45	[ZBTB45]
Cox4i2	[COX4I2]
Zbtb44	[ZBTB44]
Zbtb43	[ZBTB43]
Zbtb42	[ZBTB42]
Zbtb41	[ZBTB41]
Slfn9	[SLFN13, SLFN11]
Zbtb40	[ZBTB40]
Dtwd1	[DTWD1]
Nr2f6	[NR2F6]
Dtwd2	[DTWD2]
H2-T10	[HLA-B, HLA-C, HLA-E]
Tbp	[TBP]
Nr2f2	[NR2F2]
Nr2f1	[NR2F1]
Cycs	[CYCS]
Cyct	[CYCTP]
Hkdc1	[HKDC1]
Mcph1	[MCPH1]
Ppp1r3a	[PPP1R3A]
Unc45b	[UNC45B]
Rcn3	[RCN3]
Tm7sf2	[TM7SF2]
Unc45a	[UNC45A]
Gmpr2	[GMPR2]
Rcn1	[RCN1]
Tm7sf3	[TM7SF3]
Rcn2	[RCN2]
Zbtb39	[ZBTB39]
Zbtb38	[ZBTB38]
Zbtb37	[ZBTB37]
Mcmdc2	[MCMDC2]
Zbtb34	[ZBTB34]
Zbtb33	[ZBTB33]
Ckap2	[CKAP2]
Zbtb32	[ZBTB32]
Ckap5	[CKAP5]
Ppp1r42	[PPP1R42]
Spdye4b	[SPDYE21, SPDYE11, SPDYE13, SPDYE14, SPDYE1, SPDYE4, SPDYE18, SPDYE5, SPDYE8, SPDYE7P, SPDYE9]
Spdye4a	[SPDYE21, SPDYE11, SPDYE13, SPDYE14, SPDYE1, SPDYE4, SPDYE5, SPDYE8, SPDYE7P, SPDYE9]
Ckap4	[CKAP4]
Igkv12-98	[IGKV1-27, IGKV1D-43]
Ppp1r11	[PPP1R11]
Ppp1r10	[PPP1R10]
Nr2e3	[NR2E3]
Ppp1r17	[PPP1R17]
Nr2e1	[NR2E1]
Ppp1r18	[PPP1R18]
Scn3a	[SCN3A]
Scn3b	[SCN3B]
Cygb	[CYGB]
Fam174a	[FAM174A]
Trmt44	[TRMT44]
Tdg	[TDG]
Fam174c	[FAM174C]
Haghl	[HAGHL]
Fam174b	[FAM174B]
Tdh	[TDH]
Pycard	[PYCARD]
Ppp1r21	[PPP1R21]
Ppp1r27	[PPP1R27]
Gpr37l1	[GPR37L1]
Ppp1r26	[PPP1R26]
Spry2	[SPRY2]
Katna1	[KATNA1]
Spry3	[SPRY3]
Scn4a	[SCN4A]
Spry1	[SPRY1]
Scn4b	[SCN4B]
Atp6v0d2	[ATP6V0D2]
Atp6v0d1	[ATP6V0D1]
Tec	[TEC]
Tef	[TEF]
Cadps	[CADPS]
Spry4	[SPRY4]
Asb9	[ASB9]
Asb8	[ASB8]
Katnb1	[KATNB1]
Asb7	[ASB7]
Asb6	[ASB6]
Sclt1	[SCLT1]
Asb5	[ASB5]
Tek	[TEK]
Asb4	[ASB4]
Asb3	[GPR75-ASB3, ASB3]
Percc1	[PERCC1]
Asb2	[ASB2]
Asb1	[ASB1]
Lars2	[LARS2]
Tes	[TES]
Lars1	[LARS1]
Rab3il1	[RAB3IL1]
Mycbp2	[MYCBP2]
Tfg	[TFG]
Hyou1	[HYOU1]
Wsb1	[WSB1]
Ift88	[IFT88]
Ift81	[IFT81]
Ddit4	[DDIT4]
Or2t48	[OR2T4]
Ddit3	[DDIT3]
Wsb2	[WSB2]
Or2t47	[OR2T4]
Or2t49	[OR2T4]
Or2t44	[OR2T12, OR2T8, OR2T33]
Or2t43	[OR2T4]
Uba52	[UBA52]
Ankrd13a	[ANKRD13A]
Or2t46	[OR2T4, OR2T29, OR2T5]
Uhrf1	[UHRF1]
Ankrd13c	[ANKRD13C]
Cwh43	[CWH43]
Ankrd13b	[ANKRD13B]
Uhrf2	[UHRF2]
Aasdh	[AASDH]
Ankrd13d	[ANKRD13D]
Ift80	[IFT80]
Topors	[TOPORS]
Bves	[BVES]
Fxyd3	[FXYD3]
Fxyd4	[FXYD4]
Fxyd1	[FXYD1]
Fxyd2	[FXYD2]
Fxyd7	[FXYD7]
Fxyd5	[FXYD5]
Fxyd6	[FXYD6]
Larp7	[LARP7]
Morf4l2	[MORF4L2]
Morf4l1	[MORF4L1]
Larp4	[LARP4]
Eif4enif1	[EIF4ENIF1]
Larp6	[LARP6]
Spatc1	[SPATC1]
Taar7c-ps	[TAAR7P]
Nprl3	[NPRL3]
Sfxn2	[SFXN2]
Sfxn1	[SFXN1]
Nprl2	[NPRL2]
Sfxn4	[SFXN4]
Sfxn3	[SFXN3]
Fgfr3	[FGFR3]
Fgfr4	[FGFR4]
Sfxn5	[SFXN5]
Fgfr1	[FGFR1]
Pabpc1l	[PABPC1L]
Fgfr2	[FGFR2]
Gcsh	[GCSH]
Eif4a3	[EIF4A3]
Eif4a2	[EIF4A2]
Eif4a1	[EIF4A1]
Tk2	[TK2]
Tk1	[TK1]
Dzip3	[DZIP3]
Dzip1	[DZIP1]
Mir124a-3	[MIR124-3]
Ptrh2	[PTRH2]
Mir124a-1	[MIR124-1]
Mir124a-2	[MIR124-2]
Ptrh1	[PTRH1]
Cryab	[CRYAB]
Cryaa	[CRYAA]
Szrd1	[SZRD1]
Spata9	[SPATA9]
Timmdc1	[TIMMDC1]
Jmjd1c	[JMJD1C]
Spata3	[SPATA3]
Spata4	[SPATA4]
Ash2l	[ASH2L]
Spata1	[SPATA1]
Spata2	[SPATA2]
Spata7	[SPATA7]
Spata6	[SPATA6]
Coq8a	[COQ8A]
Coq8b	[COQ8B]
Cyld	[CYLD]
Lsg1	[LSG1]
Pik3r5	[PIK3R5]
Pik3r6	[PIK3R6]
Tkt	[TKT]
Pik3r1	[PIK3R1]
Pik3r2	[PIK3R2]
Pik3r3	[PIK3R3]
Pik3r4	[PIK3R4]
Prkar1a	[PRKAR1A]
Prkar1b	[PRKAR1B]
Pabpc4l	[PABPC4L]
Or10ag54	[OR10AG1]
Bbox1	[BBOX1]
Or10ag57	[OR10AG1]
Egfbp2	[KLK1, KLK2]
Or10ag56	[OR10AG1]
Bcdin3d	[BCDIN3D]
Prkar2a	[PRKAR2A]
Prkar2b	[PRKAR2B]
Il1rapl1	[IL1RAPL1]
Il1rapl2	[IL1RAPL2]
Mcrs1	[MCRS1]
BC048671	[C3orf22]
Myt1l	[MYT1L]
Ash1l	[ASH1L]
Trp53tg5	[TP53TG5]
Arcn1	[ARCN1]
Zfp46	[ZNF436]
Tmem170b	[TMEM170B]
Zfp41	[ZFP41]
Zfp42	[ZFP42]
Grb14	[GRB14]
Tnc	[TNC]
Grb10	[GRB10]
Tnf	[TNF]
Drosha	[DROSHA]
Egln1	[EGLN1]
Egln2	[EGLN2]
Egln3	[EGLN3]
Alyref2	[ALYREF]
Ncbp2as2	[NCBP2AS2]
Cyp2d34	[CYP2D7, CYP2D6]
Cys1	[CYS1]
Tnn	[TNN]
1700102P08Rik	[C3orf62]
Tnr	[TNR]
Malt1	[MALT1]
Zfp36	[ZFP36]
Zfp30	[ZFP30]
Krit1	[KRIT1]
Zfp37	[ZFP37]
Cyp2d26	[CYP2D7, CYP2D6]
Zfp39	[ZNF717]
Cyp2d22	[CYP2D7, CYP2D6]
Mtch2	[MTCH2]
Mtch1	[MTCH1]
Tox	[TOX]
Zfp69	[ZFP69]
Zfp62	[ZFP62]
Ccdc85a	[CCDC85A]
Zfp64	[ZFP64]
Ccdc85b	[CCDC85B]
Ccdc85c	[CCDC85C]
Zfp65	[ZNF253]
Cyp2d11	[CYP2D7, CYP2D6]
Tpo	[TPO]
Cyp2d12	[CYP2D7, CYP2D6]
Cyp2d10	[CYP2D7, CYP2D6]
Tpr	[TPR]
Zfp72	[ZNF429, ZNF502, ZNF678]
Man1a	[MAN1A1]
Ndor1	[NDOR1]
Lrch1	[LRCH1]
Toporsl	[TOPORSLP]
Zfp57	[ZFP57]
Lrch2	[LRCH2]
Zfp58	[ZNF56P, ZNF429]
Zfp51	[ZNF761]
Asmt	[ASMT]
Lsm2	[LSM2]
Lsm3	[LSM3]
Lsm4	[LSM4]
Lsm5	[LSM5]
Lrch3	[LRCH3]
Zfp59	[ZNF780B, ZNF780A]
Lrch4	[LRCH4]
Ermap	[ERMAP]
Lsm1	[LSM1]
Clca3a1	[CLCA3P]
Clca3a2	[CLCA3P]
Lsm6	[LSM6]
Lsm7	[LSM7]
Lsm8	[LSM8]
Cgrrf1	[CGRRF1]
Zfp60	[ZNF780A]
Zfp61	[ZNF226]
Gapdh-ps15	[GAPDH]
Zfp84	[ZNF565]
Zfp85	[ZNF708, ZNF678]
Zfp87	[ZNF28, ZNF429, ZNF813, ZNF611, ZNF860]
Ighv3-8	[IGHV4-61, IGHV4-31, IGHV4-4, IGHV6-1, IGHV4-34, IGHV4-59, IGHV4-39, IGHV4OR15-8]
Prlhr	[PRLHR]
Asns	[ASNS]
Trf	[TF]
Ighv3-6	[IGHV4-30-2, IGHV4-61, IGHV4-31, IGHV4-4, IGHV6-1, IGHV4-34, IGHV4-59, IGHV4-38-2, IGHV4-28, IGHV4-39, IGHV4OR15-8, IGHV4-30-4]
Trh	[TRH]
Lsp1	[LSP1]
Il15ra	[IL15RA]
Cers6	[CERS6]
Cers5	[CERS5]
Cers4	[CERS4]
Cers3	[CERS3]
Cers2	[CERS2]
Tro	[TRO]
Ighv3-1	[IGHV4-30-2, IGHV4-61, IGHV4-31, IGHV4-4, IGHV6-1, IGHV4-34, IGHV4-59, IGHV4-38-2, IGHV4-28, IGHV4-39, IGHV4OR15-8]
Cers1	[CERS1]
Ighv3-4	[IGHV4-30-2, IGHV4-61, IGHV4-31, IGHV4-4, IGHV6-1, IGHV4-34, IGHV4-59, IGHV4-38-2, IGHV4-28, IGHV4-39, IGHV4OR15-8]
Ighv3-5	[IGHV4-30-2, IGHV4-61, IGHV4-31, IGHV4-4, IGHV4-34, IGHV4-59, IGHV4-38-2, IGHV4-28, IGHV4-39, IGHV4OR15-8, IGHV4-30-4]
Ighv3-3	[IGHV4-61, IGHV4-31, IGHV4-4, IGHV6-1, IGHV4-34, IGHV4-59, IGHV4-28, IGHV4-39, IGHV4OR15-8]
Zfp91	[ZFP91]
Zfp92	[ZFP92]
Zfp93	[ZNF235]
Zfp94	[ZNF45]
Zfp90	[ZFP90]
Zfp78	[ZNF471]
Zfp74	[ZNF569]
Trappc9	[TRAPPC9]
Trappc8	[TRAPPC8]
Trappc5	[TRAPPC5]
Trappc4	[TRAPPC4]
Trappc3	[TRAPPC3]
Gapdh	[GAPDH]
Trappc2	[TRAPPC2]
Trappc1	[TRAPPC1]
Tsn	[TSN]
Cert1	[CERT1]
Nt5dc2	[NT5DC2]
Mtcl1	[MTCL1]
Nt5dc3	[NT5DC3]
Tst	[TST]
Nt5dc1	[NT5DC1]
Zfp81	[ZNF124]
Zfp82	[ZFP82]
Spred1	[SPRED1]
Spred3	[SPRED3]
Spred2	[SPRED2]
Atad3a	[ATAD3B, ATAD3A, ATAD3C]
Slc47a1	[SLC47A2, SLC47A1]
Slc47a2	[SLC47A2, SLC47A1]
AU040320	[KIAA0319L]
Pdcd4	[PDCD4]
Ttk	[TTK]
Or2t35	[OR2T35]
Pdcd1	[PDCD1]
Pdcd2	[PDCD2]
Sgcz	[SGCZ]
Ttl	[TTL]
Ttn	[TTN]
Aspn	[ASPN]
Camk2g	[CAMK2G]
Aspm	[ASPM]
Camk2d	[CAMK2D]
Camk2b	[CAMK2B]
P2ry6	[P2RY6]
Ttr	[TTR]
P2ry4	[P2RY4]
Camk2a	[CAMK2A]
Asph	[ASPH]
P2ry2	[P2RY2]
Aspg	[ASPG]
P2ry1	[P2RY1]
Bicc1	[BICC1]
Cdc37l1	[CDC37L1]
Aspa	[ASPA]
Atad2b	[ATAD2B]
Gpr137b	[GPR137B]
Tub	[TUB]
Mllt6	[MLLT6]
Gpr137c	[GPR137C]
Or2t29	[OR2T4]
Mllt3	[MLLT3]
Uroc1	[UROC1]
Mllt1	[MLLT1]
Pdcd1lg2	[PDCD1LG2]
Ass1	[ASS1]
P2rx7	[P2RX7]
Sgce	[SGCE]
P2rx6	[P2RX6]
Trarg1	[TRARG1]
P2rx5	[P2RX5]
Sgcd	[SGCD]
P2rx4	[P2RX4]
Cpt1a	[CPT1A]
P2rx3	[P2RX3]
Pdcd7	[PDCD7]
Sgcb	[SGCB]
P2rx2	[P2RX2]
Sgca	[SGCA]
P2rx1	[P2RX1]
Pdcd5	[PDCD5]
Pdcd6	[PDCD6]
Bicd2	[BICD2]
Bicd1	[BICD1]
Cpt1b	[CPT1B]
Cpt1c	[CPT1C]
Sorl1	[SORL1]
Sgcg	[SGCG]
Lst1	[LST1]
Gde1	[GDE1]
Slc6a21	[SLC6A21P]
Hgh1	[HGH1]
H2al2c	[H2AL3]
Trav5d-4	[TRAV13-2, TRAV13-1]
H2al2b	[H2AL3]
H2al2a	[H2AL3]
Wars2	[WARS2]
Aars2	[AARS2]
Aars1	[AARS1]
Wars1	[WARS1]
Prkaa1	[PRKAA1]
Prkaa2	[PRKAA2]
Tax1bp1	[TAX1BP1]
Tax1bp3	[TAX1BP3]
Fam180a	[FAM180A]
Necap2	[NECAP2]
Slc6a19	[SLC6A19]
Necap1	[NECAP1]
Slc6a18	[SLC6A18]
Hnrnpll	[HNRNPLL]
Slc6a15	[SLC6A15]
Pde12	[PDE12]
Slc6a14	[SLC6A14]
Espl1	[ESPL1]
Slc6a17	[SLC6A17]
Slc6a16	[SLC6A16]
Slc6a11	[SLC6A11]
Slc6a13	[SLC6A13]
Slc6a12	[SLC6A12]
Tmem167b	[TMEM167B]
Camk1g	[CAMK1G]
Camk1d	[CAMK1D]
Smarce1	[SMARCE1]
Fam181a	[FAM181A]
Fam181b	[FAM181B]
Snorc	[SNORC]
Pradc1	[PRADC1]
Txk	[TXK]
Pnliprp2	[PNLIPRP2]
Gatd3a	[GATD3]
Pnliprp1	[PNLIPRP1]
Cerkl	[CERKL]
Mtcp1	[CMC4, MTCP1]
Cabin1	[CABIN1]
Astl	[ASTL]
Ddias	[DDIAS]
Vps8	[VPS8]
Rtn4ip1	[RTN4IP1]
Ptpdc1	[PTPDC1]
Slc34a1	[SLC34A1]
H2al1g	[H2AL3]
H2al1f	[H2AL3]
H2al1e	[H2AL3]
Faah	[FAAH]
H2al1d	[H2AL3]
H2al1k	[H2AL3]
Wbp2nl	[WBP2NL]
H2al1j	[H2AL3]
H2al1i	[H2AL3]
Slc34a3	[SLC34A3]
Slc34a2	[SLC34A2]
H2al1h	[H2AL3]
Gdf2	[GDF2]
Gdf1	[GDF1]
Gdf3	[GDF3]
Gdf6	[GDF6]
Tyr	[TYR]
H2al1c	[H2AL3]
Gdf5	[GDF5]
H2al1b	[H2AL3]
H2al1a	[H2AL3]
Gdf7	[GDF7]
Gm13420	[PRRT1B]
Gdf9	[GDF9]
Pde1b	[PDE1B]
Pde1c	[PDE1C]
Smlr1	[SMLR1]
Pde1a	[PDE1A]
H2al1o	[H2AL3]
Fam183b	[FAM183BP, CFAP144]
H2al1n	[H2AL3]
Dele1	[DELE1]
H2al1m	[H2AL3]
Il10	[IL10]
Il11	[IL11]
Rdh8	[RDH8]
Gdi1	[GDI1]
Il15	[IL15]
Rdh9	[RDH16]
Faf2	[FAF2]
Faf1	[FAF1]
Gdi2	[GDI2]
Il13	[IL13]
Rdh7	[RDH16]
Il18	[IL18]
Il19	[IL19]
Tlcd4	[TLCD4]
Tlcd1	[TLCD1]
Il16	[IL16]
Tlcd2	[TLCD2]
Pik3c3	[PIK3C3]
Tlcd5	[TLCD5]
Umps	[UMPS]
Kptn	[KPTN]
Kprp	[KPRP]
Espnl	[ESPNL]
Dmbx1	[DMBX1]
Plagl1	[PLAGL1]
Umod	[UMOD]
Brcc3dc	[BRCC3]
Aldh16a1	[ALDH16A1]
Micu2	[MICU2]
Plagl2	[PLAGL2]
Micu3	[MICU3]
Eif3j2	[EIF3J]
Cylc1	[CYLC1]
Micu1	[MICU1]
Eif3j1	[EIF3J]
Cylc2	[CYLC2]
Rdh5	[RDH5]
Fadd	[FADD]
Sgk3	[C8orf44-SGK3, SGK3]
Sgk2	[SGK2]
Sgk1	[SGK1]
Rdh1	[RDH16]
Pdcl3	[PDCL3]
Il33	[IL33]
Il31	[IL31]
Pdcl2	[PDCL2]
Il34	[IL34]
Map2k7	[MAP2K7]
Map2k6	[MAP2K6]
Map2k5	[MAP2K5]
Asz1	[ASZ1]
Il21	[IL21]
Il22	[IL22]
Il20	[IL20]
Il25	[IL25]
Il24	[IL24]
Tacc2	[TACC2]
Tacc1	[TACC1]
Il27	[IL27]
Tacc3	[TACC3]
Gpr141b	[GPR141BP]
Tjp1	[TJP1]
Map2k4	[MAP2K4]
Il1a	[IL1A]
Map2k3	[MAP2K3]
Map2k2	[MAP2K2]
Map2k1	[MAP2K1]
Spin2-ps9	[SPIN2B, SPIN2A]
Spin2-ps8	[SPIN2B, SPIN2A]
Il1b	[IL1B]
Sort1	[SORT1]
Hnrnph3	[HNRNPH3]
Cyp2d40	[CYP2D7, CYP2D6]
Hnrnph2	[HNRNPH2]
Hnrnph1	[HNRNPH1]
Spin2-ps4	[SPIN2B, SPIN2A]
Spin2-ps7	[SPIN2B, SPIN2A]
Spin2-ps1	[SPIN2B, SPIN2A]
Nr5a2	[NR5A2]
Tjp3	[TJP3]
Nr5a1	[NR5A1]
Spin2-ps3	[SPIN2B, SPIN2A]
Tjp2	[TJP2]
Spin2-ps2	[SPIN2B, SPIN2A]
Ermp1	[ERMP1]
Pspc1	[PSPC1]
H2ab3	[H2AB3, H2AB1, H2AB2]
H2ab1	[H2AB3, H2AB1, H2AB2]
H2ab2	[H2AB3, H2AB1, H2AB2]
Gm12169	[HAVCR1]
Bbof1	[BBOF1]
Pde7b	[PDE7B]
Pde7a	[PDE7A]
Tm6sf1	[TM6SF1]
Rdm1	[RDM1]
Ero1b	[ERO1B]
Tm6sf2	[TM6SF2]
Ero1a	[ERO1A]
Pde6g	[PDE6G]
Pde6h	[PDE6H]
Sec61a2	[SEC61A2]
Sec61a1	[SEC61A1]
Thnsl1	[THNSL1]
Thnsl2	[THNSL2]
Faim	[FAIM]
Ncmap	[NCMAP]
H2ac8	[H2AC8, H2AC4, H2AC16]
H2ac6	[H2AC8, H2AC4, H2AC15]
H2ac7	[H2AC8, H2AC4, H2AC17]
H2ac4	[H2AC8, H2AC7, H2AC4]
Dmbt1	[DMBT1]
H2ac1	[H2AC1]
Pde8a	[PDE8A]
Pde8b	[PDE8B]
Sgo1	[SGO1]
Zgrf1	[ZGRF1]
Tacr1	[TACR1]
Olfml1	[OLFML1]
Tacr3	[TACR3]
Olfml3	[OLFML3]
Tacr2	[TACR2]
Pde9a	[PDE9A]
Gdnf	[GDNF]
Ubb	[UBB]
Taco1	[TACO1]
Ssmem1	[SSMEM1]
Ubd	[UBD]
Ubc	[UBC]
Prkag3	[PRKAG3]
Pik3cg	[PIK3CG]
Pik3cb	[PIK3CB]
2300009A05Rik	[C15orf61]
Pik3cd	[PIK3CD]
Prkag1	[PRKAG1]
Prkag2	[PRKAG2]
Pik3ca	[PIK3CA]
Zfa-ps	[ZFY, ZFX]
Gm128	[C1orf56]
Upk3a	[UPK3A]
Upk3b	[UPK3B]
Tas2r117	[TAS2R14]
Tas2r116	[TAS2R14]
Ucn	[UCN]
