Regulator	RegulatoryEffect	TargetGene
NPAS2	upregulates-expression	NAMPT
MAMLD1	upregulates-expression	GZMB
FOXA2	upregulates-expression	HMGCS1
AR	downregulates-expression	CYP7B1
STAT6	downregulates-expression	SELE
RUNX3	upregulates-expression	DNASE1
PAX6	upregulates-expression	GCG
HDAC1	downregulates-expression	GCK
HDAC2	downregulates-expression	GCK
CUX1	upregulates-expression	WNT5A
HELZ2	upregulates-expression	TXNRD1
CHEK1	upregulates-expression	RAD51D
RAD51D	upregulates-expression	CHEK1
WT1	downregulates-expression	IGF2
WT1	downregulates-expression	IGF1
NFKB1	upregulates-expression	IL1B
NFKB1	upregulates-expression	IL18
CTNNB1	upregulates-expression	PITX2
IFITM1	downregulates-expression	GLI2
RELA	upregulates-expression	NFKB1
ZNF160	downregulates-expression	TLR4
YBX1	upregulates-expression	AGT
NR2E3	upregulates-expression	RHO
FOS	upregulates-expression	GJA1
HLA-E	downregulates-expression	GLI2
GLI3	downregulates-expression	HLA-G
EP300	upregulates-expression	BNIP3L
FOXM1	upregulates-expression	NFATC3
SP1	upregulates-expression	CXCL5
NFATC2	upregulates-expression	FOXP3
IL2RG	upregulates-expression	IRF4
FLI1	downregulates-expression	IGFBP3
HIGD1A	upregulates-expression	AR
CEBPD	upregulates-expression	PRTN3
TBL1X	upregulates-expression	CYP1A1
CEBPB	upregulates-expression	PRTN3
CEBPA	upregulates-expression	PRTN3
MAF	upregulates-expression	MMP13
STAT3	upregulates-expression	PTEN
STAT5A	upregulates-expression	IFNG
UNG	upregulates-expression	MYC
HIST2H2BE	upregulates-expression	BCL2
MAZ	upregulates-expression	MMP14
HELZ2	upregulates-expression	SULT2A1
CHD9	upregulates-expression	GRHL1
YY1	upregulates-expression	IL4
YY1	upregulates-expression	IL5
IL5	upregulates-expression	YY1
RARA	upregulates-expression	FGFBP1
NFKB1	upregulates-expression	IL10
NR5A1	upregulates-expression	NR0B1
SUZ12	downregulates-expression	SNAI2
NPM1	upregulates-expression	CDKN1A
CREB1	downregulates-expression	NR2F6
CREB1	downregulates-expression	NR2F1
SLC2A4	upregulates-expression	SREBF1
JUN	upregulates-expression	PTN
CEBPA	downregulates-expression	BCL2
FOXM1	upregulates-expression	SFTPB
STAT3	upregulates-expression	POMC
RUNX1	downregulates-expression	VEGFA
MYB	upregulates-expression	MPO
IL8	downregulates-expression	IRF9
ALB	upregulates-expression	PAG1
MNT	upregulates-expression	MYC
JUN	upregulates-expression	FASLG
DLL4	upregulates-expression	RBPJ
MYC	upregulates-expression	MME
PGR	downregulates-expression	IL10
LGALS3	upregulates-expression	RUNX1
RUNX1	upregulates-expression	LGALS3
LGALS3	upregulates-expression	RUNX2
RUNX2	upregulates-expression	LGALS3
HDAC2	downregulates-expression	CXCL8
NR1H4	upregulates-expression	NR1I2
MAX	upregulates-expression	NBN
FZR1	upregulates-expression	CXCL8
BAMBI	upregulates-expression	SMAD3
SMAD3	upregulates-expression	BAMBI
BAMBI	upregulates-expression	SMAD4
SMAD4	upregulates-expression	BAMBI
NFKB1	upregulates-expression	IFNG
WT1	upregulates-expression	CKM
HAND2	upregulates-expression	DBH
HDAC3	downregulates-expression	CXCR4
CHD9	upregulates-expression	HMGCS1
CHD9	upregulates-expression	HMGCS2
ITGB1	downregulates-expression	LEF1
CTBP1	downregulates-expression	BRCA2
HDAC3	downregulates-expression	NR1D1
FOXQ1	upregulates-expression	WNT3A
CTBP1	downregulates-expression	BRCA1
NCL	upregulates-expression	MYC
MYC	upregulates-expression	NBN
ERG	upregulates-expression	VIM
CREBBP	upregulates-expression	RGL1
NRF1	upregulates-expression	PRDX5
NRF1	upregulates-expression	PRDX3
DYNC1I1	upregulates-expression	CTNNB1
CLOCK	upregulates-expression	RORA
ATF1	upregulates-expression	CFTR
CSE1L	upregulates-expression	TP53AIP1
CIITA	downregulates-expression	IL4
WNT16	upregulates-expression	FOXO1
SP3	upregulates-expression	HGF
SP1	upregulates-expression	HGF
TWIST1	upregulates-expression	CTPS1
TWIST2	upregulates-expression	CTPS1
HOXC9	downregulates-expression	HOXB8
FOXA1	upregulates-expression	SFTPB
FOXA1	upregulates-expression	SFTPD
MYB	upregulates-expression	MYC
RELA	downregulates-expression	PGR
PGR	downregulates-expression	RELA
CREB1	upregulates-expression	LYL1
HMGA2	upregulates-expression	POU1F1
HMGA1	upregulates-expression	POU1F1
SMARCD3	upregulates-expression	APOA5
SMARCD3	upregulates-expression	APOA1
SMARCD3	upregulates-expression	APOA2
CASP4	downregulates-expression	CTNNB1
PPARA	downregulates-expression	PLIN2
F3	upregulates-expression	RELA
PAX6	upregulates-expression	FABP7
CTCFL	upregulates-expression	BAG1
JUN	upregulates-expression	NR3C1
PTGDR	upregulates-expression	CCNE1
PTGDR	upregulates-expression	CCNE2
CDK11B	upregulates-expression	MYC
ERG	upregulates-expression	VWF
TP73	upregulates-expression	CASP1
TP73	upregulates-expression	CASP2
SP1	upregulates-expression	XIAP
TP63	upregulates-expression	CASP1
ARNT	upregulates-expression	ALDOA
TP53	upregulates-expression	CASP6
CASP7	upregulates-expression	TP53
SIRT1	downregulates-expression	CDH1
TP53	upregulates-expression	CASP1
CASP1	upregulates-expression	TP53
HDAC11	downregulates-expression	IL10
PAX5	upregulates-expression	BAX
AATF	downregulates-expression	BAX
FOXQ1	upregulates-expression	BCL11A
ING4	downregulates-expression	NGF
ABL1	upregulates-expression	CCND2
SP1	upregulates-expression	HTT
PPARG	downregulates-expression	BCL2L1
USF1	upregulates-expression	CIITA
SP1	upregulates-expression	HPR
RELA	upregulates-expression	TF
BTG2	upregulates-expression	SPHK1
NF1	upregulates-expression	MYC
COL7A1	upregulates-expression	SMAD3
COL7A1	upregulates-expression	SMAD4
COL7A1	upregulates-expression	SMAD2
HIST2H3C	upregulates-expression	KDM4B
RUNX3	downregulates-expression	MMP9
TP53	downregulates-expression	MMP1
RELA	downregulates-expression	GNRH2
NR3C1	downregulates-expression	IL13
ING4	downregulates-expression	CXCL8
MYC	upregulates-expression	CXCR4
SP1	upregulates-expression	IL6
PPARG	upregulates-expression	PTEN
PHOX2B	upregulates-expression	TLX2
PHOX2A	upregulates-expression	TLX2
XBP1	upregulates-expression	PPP2R5B
CREBBP	downregulates-expression	KRT14
PTGDR	upregulates-expression	CCNA2
SAT1	upregulates-expression	FOXO3
CREM	downregulates-expression	CD247
NR1I2	downregulates-expression	RELA
PIK3R1	upregulates-expression	CCND3
PIK3R1	upregulates-expression	CCND1
BAK1	upregulates-expression	TP53
AHR	upregulates-expression	PCNA
TBL1X	upregulates-expression	CYP7A1
STAT3	upregulates-expression	HSPA4
STAT3	upregulates-expression	HSPB1
CTNNB1	upregulates-expression	CACNA1G
CARM1	upregulates-expression	CYP1A1
MOV10	downregulates-expression	MECP2
IFNA10	upregulates-expression	IFNG
SPI1	upregulates-expression	FCER1A
NFKB2	upregulates-expression	RBPJ
SIRT1	downregulates-expression	FOXO3
SIRT1	downregulates-expression	TNFRSF10B
SP1	upregulates-expression	IVL
BAG2	downregulates-expression	CTNNB1
IFNA14	upregulates-expression	IFNG
BAG3	downregulates-expression	CTNNB1
IFNA16	upregulates-expression	IFNG
IFNA17	upregulates-expression	IFNG
IFNA21	upregulates-expression	IFNG
NR4A1	downregulates-expression	BABAM2
NR5A1	upregulates-expression	LHB
JUN	upregulates-expression	MMP13
EGR2	upregulates-expression	FCER2
PIK3CA	upregulates-expression	CCND1
PIK3CA	upregulates-expression	CCND3
NRF1	upregulates-expression	CAPNS1
RELA	upregulates-expression	HYAL1
PHB	upregulates-expression	MYC
FAM189A2	upregulates-expression	CTNNB1
ARNT	upregulates-expression	LDHA
CARM1	upregulates-expression	ACADM
COL6A2	upregulates-expression	SMAD3
COL6A3	upregulates-expression	SMAD3
COL6A1	upregulates-expression	SMAD3
MAML2	upregulates-expression	PTCRA
MAML3	upregulates-expression	PTCRA
MAML1	upregulates-expression	PTCRA
YY1	upregulates-expression	DBH
MBD2	downregulates-expression	GSTP1
SP1	upregulates-expression	SLC39A8
SMARCD3	upregulates-expression	RGL1
NRL	upregulates-expression	NR2E3
EGR1	upregulates-expression	HPSE
AIP	downregulates-expression	RSF1
SP1	upregulates-expression	RANBP1
RB1	downregulates-expression	RBL1
GBX2	upregulates-expression	IL6
TCEA1	upregulates-expression	FANCD2
IFNAR1	upregulates-expression	IFNG
IFNAR2	upregulates-expression	IFNG
TBL1X	upregulates-expression	ALAS1
IL10	downregulates-expression	CXCL2
IL10	downregulates-expression	CXCL1
IL13	downregulates-expression	CXCL8
IL10	downregulates-expression	CXCL8
SP3	upregulates-expression	JUN
PPARG	upregulates-expression	CDKN1A
JUN	upregulates-expression	TNC
JUN	upregulates-expression	TNF
JUNB	upregulates-expression	CBFB
AR	downregulates-expression	CDH1
COL5A2	upregulates-expression	SMAD3
ALPP	upregulates-expression	FOXO1
NANOG	downregulates-expression	CDC25A
BBC3	upregulates-expression	TP53
TP53	upregulates-expression	BBC3
STAT4	upregulates-expression	PPIA
MYC	upregulates-expression	XPO1
TP73	upregulates-expression	BBC3
TP63	upregulates-expression	BBC3
RFX1	downregulates-expression	MYC
TP53	downregulates-expression	E2F3
RELA	upregulates-expression	SIRT1
HIF1A	upregulates-expression	AGTR1
MAMLD1	upregulates-expression	HEYL
MAMLD1	upregulates-expression	HEY1
MAMLD1	upregulates-expression	HEY2
SLC2A14	upregulates-expression	CTNNB1
NR0B1	upregulates-expression	PBX1
AR	downregulates-expression	TSC1
AR	downregulates-expression	TSC2
ATF2	downregulates-expression	NOS3
NRL	downregulates-expression	RBP3
CFLAR	upregulates-expression	GLI2
IL6	upregulates-expression	GLI2
RAD51	upregulates-expression	EGR1
TIMP3	downregulates-expression	GLI2
CHD9	upregulates-expression	PLIN2
YY1	upregulates-expression	NF1
SP1	upregulates-expression	TNC
SP1	upregulates-expression	TNF
TBL1XR1	upregulates-expression	PEX11A
ONECUT1	upregulates-expression	CCND1
CARM1	upregulates-expression	CYP7A1
TP53	downregulates-expression	MGMT
SP1	upregulates-expression	TK1
MAMLD1	upregulates-expression	HES5
PAX3	upregulates-expression	CXCR4
FOXP2	upregulates-expression	PLAUR
TP53	upregulates-expression	TP53INP1
SP1	upregulates-expression	GAST
PAX6	upregulates-expression	MET
PAX5	upregulates-expression	MET
PAX3	upregulates-expression	MET
ERG	upregulates-expression	PIM1
E2F1	downregulates-expression	TLR3
RELA	upregulates-expression	NOLC1
EP300	upregulates-expression	GCK
IL10	downregulates-expression	LIF
PER2	downregulates-expression	SNAI2
CARM1	upregulates-expression	ACOX1
ABCB1	upregulates-expression	TCF7L2
CHD9	upregulates-expression	ABCA1
TP53	downregulates-expression	TCF7L2
CREBBP	upregulates-expression	FDFT1
IL2RG	upregulates-expression	SOCS3
OTX2	upregulates-expression	PAX6
NR3C1	downregulates-expression	IFNG
MAP2K5	upregulates-expression	STAT3
IL2RA	upregulates-expression	SOCS3
IL2RB	upregulates-expression	SOCS3
NFYB	upregulates-expression	GGPS1
NFYC	upregulates-expression	GGPS1
NFYA	upregulates-expression	GGPS1
PTTG1	upregulates-expression	CCNB1
CEBPE	downregulates-expression	SPI1
IRF1	upregulates-expression	IFNA13
FOXM1	upregulates-expression	SKP2
SEMA4A	upregulates-expression	VEGFA
ADAM2	downregulates-expression	LEF1
SP1	upregulates-expression	GCLC
STAT3	upregulates-expression	CDKN1A
CDKN1A	upregulates-expression	STAT1
STAT1	upregulates-expression	CDKN1A
NPM1	downregulates-expression	ATF5
CTDP1	upregulates-expression	FANCD2
IRF7	upregulates-expression	IFNA13
NFKB1	upregulates-expression	IRF7
NFKB1	upregulates-expression	IRF4
NFKB1	upregulates-expression	IRF1
IRF1	upregulates-expression	NFKB1
STAT6	upregulates-expression	HSD3B2
EP300	upregulates-expression	EPO
PPARG	downregulates-expression	APOB
CREBBP	upregulates-expression	IRF9
CREBBP	upregulates-expression	IRF1
SP1	upregulates-expression	VIM
SRF	upregulates-expression	VCL
SP1	upregulates-expression	MMP14
CREB5	upregulates-expression	TGFBR3
TBL1X	upregulates-expression	CPT2
TNFAIP8	upregulates-expression	FOXO3
STAT6	upregulates-expression	IL13RA2
SP1	upregulates-expression	MMP11
CREM	downregulates-expression	CCNA2
SRF	upregulates-expression	MMP14
JUN	upregulates-expression	PENK
PAWR	upregulates-expression	NOV
WWP1	downregulates-expression	ERBB4
CHD9	upregulates-expression	ABCB4
TBL1X	upregulates-expression	ACSL1
STAT1	upregulates-expression	HES1
SOX9	downregulates-expression	POU3F2
NFAT5	downregulates-expression	CCL2
ELF3	upregulates-expression	TIMP3
HDAC1	downregulates-expression	MMP28
HDAC4	downregulates-expression	MMP13
HDAC7	downregulates-expression	MMP10
HDAC5	downregulates-expression	SLIT2
STAT1	upregulates-expression	HEY1
CREB5	upregulates-expression	ATP6V0E1
MED12	upregulates-expression	AXIN2
FOXA1	upregulates-expression	SOD1
IL27	downregulates-expression	IL2
ERCC2	downregulates-expression	LAMTOR5
ZNF420	downregulates-expression	TP53AIP1
MYB	downregulates-expression	IGHE
NFATC3	upregulates-expression	CD40LG
NFATC1	upregulates-expression	CD40LG
NFATC2	upregulates-expression	CD40LG
ERBB4	upregulates-expression	CXCL12
MOV10	downregulates-expression	NLK
CREB1	upregulates-expression	MITF
HNF1A	upregulates-expression	ACAT2
POU4F1	upregulates-expression	CDKN1A
SOX6	downregulates-expression	CTNNB1
GABPA	upregulates-expression	TWNK
TP53	upregulates-expression	CASP10
RAD51	upregulates-expression	STAT5A
RAD51	upregulates-expression	STAT5B
TFAP2A	downregulates-expression	BCL2
THBS1	upregulates-expression	JUN
PCNA	upregulates-expression	MYC
GATA3	upregulates-expression	TFF3
GATA3	upregulates-expression	TFF1
TP53	upregulates-expression	TAP1
RARB	downregulates-expression	MYC
XBP1	upregulates-expression	GFPT1
PIM1	upregulates-expression	ID2
SOX2	upregulates-expression	LHX3
HELZ2	upregulates-expression	ACADM
ESR1	upregulates-expression	ZEB1
APEX1	upregulates-expression	MYC
IL12RB1	upregulates-expression	MPO
HOXB7	upregulates-expression	WNT5A
TP63	upregulates-expression	TBXT
WT1	upregulates-expression	SRY
RXRA	upregulates-expression	ITGA6
RBL1	downregulates-expression	MYC
MYC	downregulates-expression	DDIT3
TFAP2B	upregulates-expression	PTGDS
CDX2	upregulates-expression	UGT1A8
SP1	upregulates-expression	WT1
ATF4	upregulates-expression	FGF19
ATF4	upregulates-expression	FGF21
HIF3A	upregulates-expression	EPAS1
RXRB	upregulates-expression	ITGA6
RXRG	upregulates-expression	ITGA6
NR3C1	upregulates-expression	YY1
SP1	upregulates-expression	MMRN1
PBX1	upregulates-expression	PF4
PBX2	upregulates-expression	PF4
RUNX2	upregulates-expression	TWIST1
SIRT1	downregulates-expression	TP53
XBP1	upregulates-expression	HSPA5
CHD4	downregulates-expression	CD79A
IL12RB1	upregulates-expression	CXCL1
ZEB1	downregulates-expression	PKP3
IL12RB1	upregulates-expression	CXCL9
IRF2	downregulates-expression	DST
IRF1	downregulates-expression	DST
SPI1	upregulates-expression	CLEC4G
RUNX3	upregulates-expression	TCF4
TYK2	upregulates-expression	TBX21
MAZ	upregulates-expression	TSG101
MYCN	downregulates-expression	TP53INP1
TNRC6B	downregulates-expression	GREB1
TNRC6C	downregulates-expression	GREB1
TNRC6A	downregulates-expression	GREB1
MOV10	downregulates-expression	MYC
NCOR1	downregulates-expression	ESR1
TFAP2C	upregulates-expression	ERBB2
TFAP2A	upregulates-expression	ERBB2
ERBB2	upregulates-expression	TFAP2A
TFAP2B	upregulates-expression	ERBB2
TP53	downregulates-expression	MCL1
USF1	downregulates-expression	CYP1A1
TP53	downregulates-expression	MCM7
XPC	upregulates-expression	KIN
TGS1	upregulates-expression	SULT2A1
CBFB	upregulates-expression	LGALS3
CREB1	upregulates-expression	MC2R
PAX6	upregulates-expression	INS
ZFP36L1	downregulates-expression	VEGFA
SP1	upregulates-expression	PGR
SP1	upregulates-expression	MACROD1
TP73	upregulates-expression	PLPP1
UXT	upregulates-expression	MYC
PIAS1	upregulates-expression	FABP2
HIF1A	upregulates-expression	HBEGF
BRD7	upregulates-expression	BRD2
BRD7	upregulates-expression	BRD3
CHD9	upregulates-expression	UGT1A9
MAX	downregulates-expression	DDIT3
QPCT	upregulates-expression	CTNNB1
HES1	downregulates-expression	PTEN
TM7SF2	upregulates-expression	NFYA
NFYA	upregulates-expression	TM7SF2
NFYB	upregulates-expression	TM7SF2
NFYC	upregulates-expression	TM7SF2
CCNC	upregulates-expression	PLIN1
EZH2	downregulates-expression	ADAMTS1
OTX2	upregulates-expression	TYR
NCOA6	upregulates-expression	CPT2
MKL1	upregulates-expression	TAGLN
CRTC2	upregulates-expression	PPARGC1A
CRTC3	upregulates-expression	PPARGC1A
CRTC1	upregulates-expression	PPARGC1A
NCOA1	upregulates-expression	CPT2
NCOA2	upregulates-expression	CPT2
KLF6	downregulates-expression	MMP9
SEPP1	downregulates-expression	SMAD4
SEPP1	downregulates-expression	SMAD3
EP300	upregulates-expression	CA9
XBP1	upregulates-expression	CXXC1
HIF1A	upregulates-expression	PTK6
HES1	downregulates-expression	CDKN1B
SP1	upregulates-expression	FASLG
SP1	upregulates-expression	PPL
SRF	upregulates-expression	PLG
NFKB1	upregulates-expression	RGS4
TGFBI	upregulates-expression	GLI2
RGS16	upregulates-expression	GLI1
SOX2	downregulates-expression	POU4F2
FOXP2	downregulates-expression	NKX2-1
TP53	upregulates-expression	RCHY1
HDAC2	downregulates-expression	APAF1
NR3C1	upregulates-expression	SP1
ARNTL	upregulates-expression	F7
ALB	upregulates-expression	EP300
KLK3	upregulates-expression	KLK2
KLK2	upregulates-expression	KLK3
HDAC5	downregulates-expression	FGF2
ICAM1	upregulates-expression	RELA
RELA	upregulates-expression	ICAM1
CREBBP	upregulates-expression	CREB1
SSRP1	upregulates-expression	CHEK1
RBMX	downregulates-expression	KIT
DACH1	downregulates-expression	TNFSF11
FOXF1	downregulates-expression	NKX2-1
MYB	upregulates-expression	WT1
NR1H2	upregulates-expression	TNF
NR1H3	upregulates-expression	TNF
THRAP3	upregulates-expression	PLIN1
IL10	downregulates-expression	IL6
FOXA1	downregulates-expression	NKX2-1
IL4	downregulates-expression	IL18
IL13	downregulates-expression	IL6
HTRA1	upregulates-expression	CTNNB1
IL12RB1	upregulates-expression	TNF
MYC	upregulates-expression	WRN
IL4	downregulates-expression	IL1A
IL4	downregulates-expression	IL1B
EP300	upregulates-expression	BAX
FOXA2	upregulates-expression	SOX14
CREB1	upregulates-expression	SLC2A3
HIF1A	downregulates-expression	ACE2
SIRT1	downregulates-expression	CCND1
PDX1	upregulates-expression	GCK
HIF1A	downregulates-expression	ABCB1
NFKB1	downregulates-expression	ALOX5
SPDEF	upregulates-expression	SPINK4
FOS	upregulates-expression	PENK
ZFC3H1	downregulates-expression	GLI2
VDR	upregulates-expression	CXCL8
HIST3H2BB	upregulates-expression	KDM4B
MNAT1	upregulates-expression	ATM
MNAT1	upregulates-expression	ATR
JUND	upregulates-expression	FOSL1
ONECUT1	upregulates-expression	NEUROG3
GCM1	upregulates-expression	PGF
TADA2B	upregulates-expression	GADD45A
BRD7	downregulates-expression	E2F3
NFATC3	upregulates-expression	CTSD
RUNX2	downregulates-expression	AR
NFKB1	downregulates-expression	THBD
H19	upregulates-expression	GLI1
TERT	downregulates-expression	E2F1
TERT	downregulates-expression	E2F2
TERT	downregulates-expression	E2F3
SRF	downregulates-expression	SERPINE1
HAMP	upregulates-expression	STAT3
STAT3	upregulates-expression	HAMP
FST	upregulates-expression	GLI2
GLI2	upregulates-expression	FST
RPS6KB1	upregulates-expression	TGFB1
RELA	upregulates-expression	MMP9
MMP9	upregulates-expression	RELA
RELA	upregulates-expression	MMP1
RELA	upregulates-expression	MMP2
MMP3	upregulates-expression	RELA
TP53	downregulates-expression	MAP4
DLX5	upregulates-expression	IRS2
TP63	upregulates-expression	HELLS
EGR1	upregulates-expression	SNAI1
KLF9	upregulates-expression	PDCD5
NKX2-5	upregulates-expression	GATA4
LDLR	downregulates-expression	PPARGC1A
PDX1	upregulates-expression	INS
INS	upregulates-expression	PDX1
E2F1	upregulates-expression	XRCC1
XRCC1	upregulates-expression	E2F1
FN1	downregulates-expression	RELA
POU4F1	downregulates-expression	PMAIP1
SP1	upregulates-expression	SPN
SP1	upregulates-expression	SP3
BCL9	upregulates-expression	CDX1
NCOA6	upregulates-expression	ACSL1
NCOA2	upregulates-expression	ACSL1
NCOA1	upregulates-expression	ACSL1
JUN	upregulates-expression	GJA1
SPDEF	upregulates-expression	CDH1
HDAC7	upregulates-expression	SLC2A1
HDAC5	upregulates-expression	SLC2A1
CEBPE	downregulates-expression	GATA1
GATA1	downregulates-expression	CEBPA
NR5A1	upregulates-expression	SRY
HDAC2	downregulates-expression	FDXR
MEF2C	upregulates-expression	CKM
GLI1	upregulates-expression	BHLHE41
IFNAR2	downregulates-expression	TERT
HIST1H2BO	upregulates-expression	MYC
HIST1H2BM	upregulates-expression	MYC
HIST1H2BN	upregulates-expression	MYC
HIST1H2BK	upregulates-expression	MYC
HIST1H2BL	upregulates-expression	MYC
HIST1H2BJ	upregulates-expression	MYC
HIST1H2BG	upregulates-expression	MYC
HIST1H2BH	upregulates-expression	MYC
HIST1H2BD	upregulates-expression	MYC
HIST1H2BA	upregulates-expression	MYC
HIST1H2BB	upregulates-expression	MYC
MYC	upregulates-expression	YY1
SIRT1	upregulates-expression	ARNTL
TBL1X	upregulates-expression	ACOX1
GCM2	upregulates-expression	PTH
CDK8	upregulates-expression	PLIN1
HBP1	downregulates-expression	CDKN1A
EZH2	downregulates-expression	HOXB13
BTF3	downregulates-expression	NFKB1
PPARG	upregulates-expression	CPT1B
FOSL1	upregulates-expression	PLAUR
RASGRF1	upregulates-expression	CTNNB1
LMX1B	upregulates-expression	TCF3
JUN	downregulates-expression	RARG
JUN	downregulates-expression	RARA
HIST1H2AJ	upregulates-expression	MYC
KLF4	upregulates-expression	THBD
KLF2	upregulates-expression	THBD
LEF1	downregulates-expression	CYLD
HIST1H2AD	upregulates-expression	MYC
HIST1H2AB	upregulates-expression	MYC
HIST1H2AC	upregulates-expression	MYC
IL12RB2	upregulates-expression	FASLG
SREBF1	upregulates-expression	FASN
IL12RB1	upregulates-expression	FASLG
FOXA1	upregulates-expression	PRDM15
DPY30	upregulates-expression	ITGA2B
SP1	upregulates-expression	HIST2H4A
NRF1	upregulates-expression	SLC46A1
CEBPB	upregulates-expression	PRSS50
JUN	upregulates-expression	TGFB1
TGFB1	upregulates-expression	JUN
HMGA2	upregulates-expression	CDH1
HIF1A	upregulates-expression	XPC
SP100	downregulates-expression	ETS1
ING1	downregulates-expression	AFP
MAX	upregulates-expression	BAX
CEBPB	upregulates-expression	PRDM1
CTDSP1	downregulates-expression	KLK3
CTDSP2	downregulates-expression	KLK3
HMGA1	upregulates-expression	CD44
BCL11A	upregulates-expression	GATA1
RARA	downregulates-expression	MACROD1
MYB	upregulates-expression	ADA
RBMX	downregulates-expression	FOS
SCGB2A2	upregulates-expression	CTNNB1
TOP3A	upregulates-expression	YY1
YY1	upregulates-expression	TOP3A
NFKB1	upregulates-expression	SNAI1
ESR1	upregulates-expression	HSPB1
GATA3	upregulates-expression	CD40LG
SNAI1	downregulates-expression	VDR
SNAI2	downregulates-expression	VDR
ETS1	upregulates-expression	GRPR
ESR1	upregulates-expression	NRIP1
PITX1	downregulates-expression	TRIB2
RAI1	upregulates-expression	CLOCK
ETV4	upregulates-expression	AGTR1
CEBPD	downregulates-expression	CYP19A1
CEBPB	downregulates-expression	CYP19A1
EHMT1	downregulates-expression	IL6
EHMT2	downregulates-expression	IL6
SMAD7	downregulates-expression	CDKN2B
SMAD7	downregulates-expression	CDKN1A
STAT3	upregulates-expression	S100A11
STAT1	upregulates-expression	S100A10
TAF9	upregulates-expression	BBC3
RELA	upregulates-expression	UPP1
SATB1	upregulates-expression	HBE1
ELK1	upregulates-expression	EIF2AK1
NANOG	upregulates-expression	MTF2
TTF1	upregulates-expression	SFTPC
TTF1	upregulates-expression	SFTPB
HIRA	downregulates-expression	PLB1
POU5F1	downregulates-expression	TBX18
MAX	upregulates-expression	CAD
MLXIPL	upregulates-expression	AGPAT1
HIST1H1B	upregulates-expression	HBP1
SKI	upregulates-expression	FHL2
HPGD	downregulates-expression	GLI2
EGR1	upregulates-expression	CDKN1A
JUND	upregulates-expression	GADD45A
FOS	upregulates-expression	IL2
FOS	upregulates-expression	IL3
FOS	upregulates-expression	IL4
FOS	upregulates-expression	IL5
TGS1	upregulates-expression	GRHL1
MYC	upregulates-expression	BAX
WT1	downregulates-expression	IGF1R
IHH	upregulates-expression	TGFB2
IL4	upregulates-expression	FN1
IL2RG	upregulates-expression	TNFRSF18
IL2RB	upregulates-expression	TNFRSF18
IL2RA	upregulates-expression	TNFRSF18
SRF	upregulates-expression	FHL2
PML	upregulates-expression	FLT3
JUN	upregulates-expression	FAS
MYC	upregulates-expression	RPL11
RPL10	upregulates-expression	MYC
ELL	upregulates-expression	FANCI
PPARG	downregulates-expression	AGER
NR3C1	upregulates-expression	AFP
JUN	upregulates-expression	EZR
ETS1	upregulates-expression	TBXA2R
LMO2	downregulates-expression	LEF1
FOSB	upregulates-expression	MYC
RPL22	upregulates-expression	MYC
RPL23	upregulates-expression	MYC
MAMLD1	upregulates-expression	PBX1
VHL	downregulates-expression	IGF1R
MEF2C	upregulates-expression	NTF3
RPL13	upregulates-expression	MYC
RPL19	upregulates-expression	MYC
RPL32	upregulates-expression	MYC
RPL26	upregulates-expression	MYC
RPL27	upregulates-expression	MYC
TP53BP1	upregulates-expression	BRCA1
MYCN	downregulates-expression	ABCB1
RXRA	upregulates-expression	CYP1A1
CYP4F2	upregulates-expression	SREBF1
CYP4F2	upregulates-expression	SREBF2
PURA	upregulates-expression	NFYA
MED1	upregulates-expression	TNFRSF21
IL12RB1	upregulates-expression	FOS
BLVRA	downregulates-expression	GLI2
IL12RB2	upregulates-expression	FOS
TOPBP1	downregulates-expression	CDKN2A
FOS	upregulates-expression	JUN
RELA	upregulates-expression	MAT2A
MAX	upregulates-expression	RPL11
ESR1	upregulates-expression	COL18A1
HIST1H2AC	upregulates-expression	KDM4B
HIST1H2AD	upregulates-expression	KDM4B
HIST1H2AB	upregulates-expression	KDM4B
HIST1H2AJ	upregulates-expression	KDM4B
ONECUT2	upregulates-expression	MITF
ELOA3D	upregulates-expression	BRCA1
ELOA3B	upregulates-expression	BRCA1
HNF4A	upregulates-expression	C1QTNF5
FBXO43	upregulates-expression	E2F2
FBXO43	upregulates-expression	E2F3
FBXO43	upregulates-expression	E2F1
HOXA5	upregulates-expression	ARHGEF1
CAD	upregulates-expression	MYC
HOXA9	upregulates-expression	ARHGEF1
MYC	upregulates-expression	CAD
NR3C1	downregulates-expression	SERPINE1
TCF4	downregulates-expression	MITF
MYB	upregulates-expression	CA1
HIST1H2BN	upregulates-expression	KDM4B
HIST1H2BO	upregulates-expression	KDM4B
HIST1H2BD	upregulates-expression	KDM4B
HIST1H2BB	upregulates-expression	KDM4B
HIST1H2BA	upregulates-expression	KDM4B
HIST1H2BL	upregulates-expression	KDM4B
HIST1H2BM	upregulates-expression	KDM4B
HIST1H2BJ	upregulates-expression	KDM4B
HIST1H2BK	upregulates-expression	KDM4B
HIST1H2BH	upregulates-expression	KDM4B
HIST1H2BG	upregulates-expression	KDM4B
TP53	downregulates-expression	REEP5
SETBP1	downregulates-expression	PTPA
TCF4	upregulates-expression	ABCB1
NR1H4	upregulates-expression	FABP6
ESRRA	upregulates-expression	CYP19A1
DUSP1	downregulates-expression	MYC
TP63	upregulates-expression	YWHAQ
NR2F1	downregulates-expression	SERPINC1
ZFHX3	downregulates-expression	MUC5AC
CARM1	upregulates-expression	TFF1
